Name,Lat,Long
DIKAGO DINTLE PRIMARY SCHOOL,-25.442250°,28.014240°
DIKGAKOLOGO PRIMARY SCHOOL,-25.451778°,28.055472°
DITHABANENG PRIMARY SCHOOL,-25.512655°,28.102015°
Dr. Motsuenyane Secondary School,-25.466830°,28.072750°
EDWIN MOALUSI PRIMARY,-25.492530°,28.059520°
ENTOKOZWENI PRIMARY SCHOOL,-25.493481°,28.104486°
Filadelfia School,-25.546636°,28.090250°
Galeboe Middle School,-25.465680°,28.064810°
HLANGANANI SECONDARY SCHOOL,-25.509117°,28.118050°
HLOMPHANANG SECONDARY SCHOOL,-25.544139°,28.106838°
Holy Trinity School,-25.420917°,27.984617°
Itseng Primary School,-25.421040°,27.983080°
KHENSANI PRIMARY SCHOOL,-25.524190°,28.105430°
KHUTSO PRIMARY SCHOOL,-25.524907°,28.100227°
KULANI PRIMARY SCHOOL,-25.446380°,28.065260°
KUTUNG PRIMARY SCHOOL,-25.533333°,28.108972°
Laerskool Haakdoorn,-25.598030°,28.134890°
LETHABONG SECONDARY SCHOOL,-25.506730°,28.106750°
MMAFUMBUKA PRIMARY SCHOOL,-25.449500°,28.084500°
MAHLWARENG PRIMARY SCHOOL,-25.451580°,28.055500°
MAKHOSINI COMBINED SECONDARY SCHOOL,-25.447690°,28.089990°
MATHAGA PRIMARY SCHOOL,-25.547430°,28.102450°
Medicos Special School,-25.545900°,28.087160°
MEETSENG PRIMARY SCHOOL,-25.538930°,28.099660°
Merafeng Primary School,-25.405500°,28.021556°
MLOKOTWA DUBE PRIMARY SCHOOL,-25.442410°,28.011560°
MMAMASIANOKA PRIMARY SCHOOL,-25.518320°,28.097270°
MODISELLE PRIMARY SCHOOL,-25.580210°,28.017240°
New Eersterus Secondary,-25.424800°,28.123690°
NICK MPSHE SECONDARY SCHOOL,-25.444226°,28.016925°
NTSHA PEU PRIMARY SCHOOL,-25.507419°,28.102712°
Patrick Moloto Primary School,-25.500560°,28.077100°
PELE PRIMARY SCHOOL,-25.600990°,28.104900°
PHUMZILE PRIMARY SCHOOL,-25.517430°,28.110950°
PHUTHANANG PRIMARY SCHOOL,-25.530720°,28.099800°
REFENTSE PRIMARY,-25.374113°,28.298020°
REFILWE PRIMARY SCHOOL,-25.468200°,28.074370°
Reimolotswe Primary School,-25.415380°,28.039720°
REITUMETSE SECONDARY SCHOOL,-25.540720°,28.105490°
RETHOMILE PRIMARY SCHOOL,-25.535820°,28.103940°
RHULANI PRIMARY SCHOOL,-25.516430°,28.110200°
RS MALULEKE PRIMARY SCHOOL,-25.509468°,28.108144°
RUABOHLALE JUNIOR SECONDARY SCHOOL,-25.556230°,28.070920°
SEAGENG PRIMARY SCHOOL,-25.568600°,28.045244°
SEMPHATO PRIMARY SCHOOL,-25.456210°,28.089030°
